index,CODIGO,ENTIDAD,DIRECCION,COMUNA,HORARIO,LONGITUD,LATITUD,CATEGORIA,FUNCIONES
1447,123494,Masse Paul Casimir,Juan Martinez De Rozas 4398,QUINTA NORMAL,No hay informacion disponible,-70.695070,-33.435579,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1448,123524,Oxxo - Matucana Sd,Matucana 657,SANTIAGO,No hay informacion disponible,-70.679962,-33.437992,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1449,123546,Evenson Eveillard,Ramën Rosales 640,QUILICURA,No hay informacion disponible,-70.726189,-33.368870,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1450,123548,Oxxo - Pedroádeávaldiviaá9,Pedroádeávaldivia 2076,ÐUÐOA,No hay informacion disponible,-70.606667,-33.441681,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1451,123568,La Rebeca,Juan De Dios Malebran 3093,PUENTE ALTO,No hay informacion disponible,-70.591812,-33.583126,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1452,123570,Botilleria Erika Soto,Domingo Santa Maria 3358,RENCA,No hay informacion disponible,-70.691582,-33.409817,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1453,123571,Oxxo - Marchant Pereira 2,Marchant Pereira 150,PROVIDENCIA,No hay informacion disponible,-70.613083,-33.426140,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1454,123572,Oxxo - Brown Norte,Av. Irarrazaval 3674,ÐUÐOA,No hay informacion disponible,-70.592209,-33.455143,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1455,123608,Donde La Tita,Pasaje Santa Laura 726,LAMPA,No hay informacion disponible,-70.750427,-33.320827,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1456,123623,Angelina Morales Huenupil,Boulevard San Cristobal 807,LAMPA,No hay informacion disponible,-70.764969,-33.327610,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1457,123624,Zokel,Av. Tabancura 1091,VITACURA,No hay informacion disponible,-70.534721,-33.382904,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1458,123633,Antonieta Sanchez,General Adolfo Ibaðez 484,INDEPENDENCIA,No hay informacion disponible,-70.656967,-33.426174,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1459,123656,Oxxo - Jose Luis Coo,Jose Luis Coo 0165,PUENTE ALTO,No hay informacion disponible,-70.573807,-33.609505,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1460,123657,Oxxo - Placa La Dehesa,La Dehesa 1201,LO BARNECHEA,No hay informacion disponible,-70.515068,-33.360615,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1461,123658,Oxxo - Isidora,Isidora Goyenechea 3614,LAS CONDES,No hay informacion disponible,-70.593407,-33.414291,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1462,123670,Punto Market Ii,Av. La Florida 10671,LA FLORIDA,No hay informacion disponible,-70.562057,-33.556042,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1463,123672,Oxxo - Felix Bulnes ,Mapocho 7366,CERRO NAVIA,No hay informacion disponible,-70.739937,-33.423210,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1464,123687,Inversiones Romer Jr Spa,Diaguitas 881,LAS CONDES,No hay informacion disponible,-70.537292,-33.415462,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1465,123713,Oxxo - Abate Molina,Abate Molina 586,SANTIAGO,No hay informacion disponible,-70.672302,-33.456337,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1466,123717,Metfarma,Av Providencia  1037,PROVIDENCIA,No hay informacion disponible,-70.622742,-33.430771,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1467,123723,Romano,Jose Pedro Alesandri 3927,MACUL,No hay informacion disponible,-70.598669,-33.471391,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1468,123733,Rosalin Marin Milla,Av. Oriental 7502,PEÐALOLEN,No hay informacion disponible,-70.553253,-33.468918,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1469,123742,Distribuidora M Y M,Constantino 141,ESTACION CENTRAL,No hay informacion disponible,-70.695992,-33.450436,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1470,123743,Roger Rivera Ruiz,Toconao 352,LA REINA,No hay informacion disponible,-70.536285,-33.455334,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1471,123744,Almaen La Veci,Victor Jara 2095,PEÐALOLEN,No hay informacion disponible,-70.526299,-33.480816,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1472,123745,Diana Bonilla Godinez,Santiago Dublin 5516,MAIPU,No hay informacion disponible,-70.756508,-33.466957,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1473,123746,Veronica,Rio Piduco  1309,LA FLORIDA,No hay informacion disponible,-70.605247,-33.557556,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1474,123753,Los Due±Os,Parroquia Jes┌S Obrero  744,QUILICURA,No hay informacion disponible,-70.759926,-33.360607,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
